crime_day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
3,2014,01,01,2014-01-01,19.0,9999.9,9999.9,999.9,16.2,22.9,999.9,22.8,13.3,0.0,999.9,0,1241
4,2014,01,02,2014-01-02,19.7,9999.9,9999.9,999.9,22.5,27.0,999.9,21.2,15.8,0.0,999.9,0,485
5,2014,01,03,2014-01-03,10.3,9999.9,9999.9,999.9,16.9,35.0,999.9,17.1,6.3,0.0,999.9,0,563
6,2014,01,04,2014-01-04,24.2,9999.9,9999.9,999.9,30.5,42.9,999.9,31.5,17.8,0.0,999.9,0,577
7,2014,01,05,2014-01-05,25.0,9999.9,9999.9,999.9,23.7,35.9,999.9,29.8,14.7,0.0,999.9,0,405
1,2014,01,06,2014-01-06,-6.1,9999.9,9999.9,999.9,26.6,29.9,999.9,12.4,-14.8,0.0,999.9,0,367
2,2014,01,07,2014-01-07,-6.3,9999.9,9999.9,999.9,20.3,26.0,999.9,4.3,-11.2,0.0,999.9,0,468
3,2014,01,08,2014-01-08,9.7,9999.9,9999.9,999.9,9.6,18.1,999.9,15.1,4.5,0.0,999.9,0,599
4,2014,01,09,2014-01-09,15.3,9999.9,9999.9,999.9,9.0,18.1,999.9,21.7,10.0,0.0,999.9,0,614
5,2014,01,10,2014-01-10,29.8,9999.9,9999.9,999.9,14.3,17.1,999.9,35.2,22.8,0.0,999.9,0,635
6,2014,01,11,2014-01-11,37.4,9999.9,9999.9,999.9,19.5,27.0,999.9,41.5,33.6,0.0,999.9,0,654
7,2014,01,12,2014-01-12,32.3,9999.9,9999.9,999.9,19.4,32.1,999.9,40.3,28.4,0.0,999.9,0,688
1,2014,01,13,2014-01-13,42.8,9999.9,9999.9,999.9,21.6,34.0,999.9,46.0,40.5,0.0,999.9,0,761
2,2014,01,14,2014-01-14,31.8,9999.9,9999.9,999.9,18.3,34.0,999.9,38.8,28.8,0.0,999.9,0,688
3,2014,01,15,2014-01-15,20.4,9999.9,9999.9,999.9,18.3,29.9,999.9,27.9,16.5,0.0,999.9,0,747
4,2014,01,16,2014-01-16,24.5,9999.9,9999.9,999.9,23.3,32.1,999.9,33.8,17.4,0.0,999.9,0,689
5,2014,01,17,2014-01-17,18.3,9999.9,9999.9,999.9,17.6,28.0,999.9,32.7,12.7,0.0,999.9,0,748
